SKU,Nombre_Producto,Marca,Categoria_Clasificada,Departamento,Precio_Lista_Original_MXN,Precio_Venta_Inauguracion_MXN,Precio_Mayoreo_10pzs_MXN,Cashback_5pct_MXN,Distribuidor,Disponibilidad,Descripcion_Completa,Imagen_Local,URL_CDN,URL_Ficha_CT
CPUINT4720,"Procesador Intel® Core™ Ultra 9 285K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con D",INTEL,procesadores,Computadoras y Ensamble,17854.62,13391.3,12453.91,669.57,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 9 285K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 9 (serie 2) desbloqueados están optimizados para jugadores entusiastas y creadores serios y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",assets/img/CPUINT4720.webp,https://static.ctonline.mx/imagenes/CPUINT4720/CPUINT4720_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4720
CPUINT4730,"Procesador Intel® Core™ Ultra 7 265K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con D",INTEL,procesadores,Computadoras y Ensamble,10559.55,7919.86,7365.47,395.99,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 7 265K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 7 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",assets/img/CPUINT4730.webp,https://static.ctonline.mx/imagenes/CPUINT4730/CPUINT4730_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4730
CPUINT4740,"Procesador Intel® Core™ Ultra 7 265KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5",INTEL,procesadores,Computadoras y Ensamble,8874.44,6656.0,6190.08,332.8,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 7 265KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 7 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Se requieren gráficos discretos. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",assets/img/CPUINT4740.webp,https://static.ctonline.mx/imagenes/CPUINT4740/CPUINT4740_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4740
CPUINT4750,"Procesador Intel® Core™ Ultra 5 245K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con D",INTEL,procesadores,Computadoras y Ensamble,6672.13,5004.22,4653.92,250.21,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 5 245K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 5 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",assets/img/CPUINT4750.webp,https://static.ctonline.mx/imagenes/CPUINT4750/CPUINT4750_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4750
CPUINT4760,"Procesador Intel® Core™ Ultra 5 245KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5",INTEL,procesadores,Computadoras y Ensamble,6314.38,4735.9,4404.39,236.79,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 5 245KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 5 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Se requieren gráficos discretos. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",assets/img/CPUINT4760.webp,https://static.ctonline.mx/imagenes/CPUINT4760/CPUINT4760_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4760
CPUINT4770,"Procesador Intel® Core™ Ultra 9 para escritorio 285 LGA 1851, 24 cores (8P + 16E) Hasta 5.4 GHz. Compatible con PCIe 5.0 y 4.0, así como con",INTEL,procesadores,Computadoras y Ensamble,17436.9,13078.0,12162.54,653.9,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 9 para escritorio 285 LGA 1851, 24 cores (8P + 16E) Hasta 5.4 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 40 MB. Los procesadores Intel® Core™ Ultra 9 para escritorio (serie 2) están optimizados para jugadores entusiastas y creadores profesionales, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RH2 incluido. INCLUYE GRAFICOS.",assets/img/CPUINT4770.webp,https://static.ctonline.mx/imagenes/CPUINT4770/CPUINT4770_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4770
CPUINT4780,"Procesador Intel® Core™ Ultra 7 para escritorio 265 LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0 y 4.0, así como con",INTEL,procesadores,Computadoras y Ensamble,12098.36,9074.0,8438.82,453.7,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 7 para escritorio 265 LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 36 MB. Los procesadores Intel® Core™ Ultra 7 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. INCLUYE GRAFICOS.",assets/img/CPUINT4780.webp,https://static.ctonline.mx/imagenes/CPUINT4780/CPUINT4780_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4780
CPUINT4790,"Procesador Intel® Core™ Ultra 7 para escritorio 265F LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0 y 4.0, así como co",INTEL,procesadores,Computadoras y Ensamble,10852.13,8139.3,7569.55,406.97,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 7 para escritorio 265F LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 36 MB. Los procesadores Intel® Core™ Ultra 7 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. NECESITA GRAFICOS.",assets/img/CPUINT4790.webp,https://static.ctonline.mx/imagenes/CPUINT4790/CPUINT4790_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4790
CPUINT4800,"Procesador Intel® Core™ Ultra 5 para escritorio 225 LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0 y 4.0, así como con ",INTEL,procesadores,Computadoras y Ensamble,5511.86,4134.0,3844.62,206.7,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 5 para escritorio 225 LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 22 MB. Los procesadores Intel® Core™ Ultra 5 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. INCLUYE GRAFICOS.",assets/img/CPUINT4800.webp,https://static.ctonline.mx/imagenes/CPUINT4800/CPUINT4800_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4800
CPUINT4810,"Procesador Intel® Core™ Ultra 5 para escritorio 225F LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0 y 4.0, así como con",INTEL,procesadores,Computadoras y Ensamble,4484.02,3363.1,3127.68,168.16,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel® Core™ Ultra 5 para escritorio 225F LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 22 MB. Los procesadores Intel® Core™ Ultra 5 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. NECESITA GRAFICOS.",assets/img/CPUINT4810.webp,https://static.ctonline.mx/imagenes/CPUINT4810/CPUINT4810_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT4810
CPUINT5030,"Procesador Intel Core Ultra 7 270K Plus BX80768270K, 36 TOPS - 24 núcleos (8+16), 3.2 Ghz base, 5.5 Ghz turbo, 36 MB Caché, 125 W base, tecn",INTEL,procesadores,Computadoras y Ensamble,9567.76,7176.0,6673.68,358.8,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel Core Ultra 7 270K Plus BX80768270K, 36 TOPS - 24 núcleos (8+16), 3.2 Ghz base, 5.5 Ghz turbo, 36 MB Caché, 125 W base, tecnologías de IA (OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN). Tamaño de memoria máximo 256 GB / hasta DDR5-7200 MTs (2 canales de memoria). INCLUYE GRAFICOS - LGA 1851 - Compatible con chipset serie 800. NECESITA DISIPADOR.",assets/img/CPUINT5030.webp,https://static.ctonline.mx/imagenes/CPUINT5030/CPUINT5030_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT5030
CPUINT5040,"Procesador Intel Core Ultra 5 250K Plus BX80768250K, 30 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Caché, 125 W base, tecn",INTEL,procesadores,Computadoras y Ensamble,7019.82,5265.0,4896.45,263.25,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel Core Ultra 5 250K Plus BX80768250K, 30 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Caché, 125 W base, tecnologías de IA (OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN). Tamaño de memoria máximo 256 GB / hasta DDR5-7200 MTs (2 canales de memoria). INCLUYE GRAFICOS - LGA 1851 - Compatible con chipset serie 800. NECESITA DISIPADOR.",assets/img/CPUINT5040.webp,https://static.ctonline.mx/imagenes/CPUINT5040/CPUINT5040_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT5040
CPUINT5050,"Procesador Intel Core Ultra 5 250KF Plus BX80768250KF, 22 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Caché, 125 W base, te",INTEL,procesadores,Computadoras y Ensamble,6470.37,4852.9,4513.2,242.64,CT Internacional,Pedro Moreno 501 A (Entrega Inmediata),"Procesador Intel Core Ultra 5 250KF Plus BX80768250KF, 22 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Caché, 125 W base, tecnologías de IA (OpenVINO™, WindowsML, DirectML, ONNX RT, WebNN). Tamaño de memoria máximo 256 GB / hasta DDR5-7200 MTs (2 canales de memoria) - LGA 1851 - Compatible con chipset serie 800. NECESITA GRAFICOS. NECESITA DISIPADOR.",assets/img/CPUINT5050.webp,https://static.ctonline.mx/imagenes/CPUINT5050/CPUINT5050_full.jpg,https://ctonline.mx/buscar/productos?b=CPUINT5050
